keyword,search_volume,category,keyword_difficulty
CBD gummies for pain,18100,Pain Relief,45
CBD for sleep,14800,Sleep Disorders,40
CBD cream,14800,Skincare,35
CBD for acne,9900,Skincare,30
CBD for ADHD,8100,ADHD & Autism,50
CBD gummies for anxiety,8100,Anxiety,42
CBD for depression,6600,Mental Health,48
CBD bath bombs,5400,Personal Care,25
CBD for pets,4400,Pet Health,38
CBD massage oil,3600,Wellness,28
CBD for arthritis,2900,Pain Relief,46
CBD face cream,2400,Skincare,32
CBD lip balm,1900,Personal Care,22
CBD for migraine,1600,Pain Relief,44
CBD shampoo,1300,Personal Care,26
CBD tea,1000,Beverages,20
CBD chocolate,880,Edibles,24
CBD for inflammation,720,Health,40
CBD eye cream,590,Skincare,30
CBD body lotion,480,Personal Care,28